artists,popularity
Gen Hoshino,73
Ben Woodward,55
Ingrid Michaelson;ZAYN,57
Kina Grannis,71
Chord Overstreet,82
Tyrone Wells,58
A Great Big World;Christina Aguilera,74
Jason Mraz,80
Jason Mraz;Colbie Caillat,74
Ross Copperman,56
Zack Tabudlo,74
Jason Mraz,69
Dan Berk,52
Anna Hamilton,62
Chord Overstreet;Deepend,56
Landon Pigg,58
Andrew Foy;Renee Foy,56
Andrew Foy;Renee Foy,54
Jason Mraz;Colbie Caillat,68
Boyce Avenue;Bea Miller,67
Jason Mraz,75
Boyce Avenue;Jennel Garcia,63
A Great Big World;Christina Aguilera,70
Jason Mraz,0
Jason Mraz,0
Jason Mraz,1
Jason Mraz,0
Jason Mraz,0
Jason Mraz,0
Jason Mraz,0
Jason Mraz,0
Jason Mraz,0
Chord Overstreet,0
Brandi Carlile;Sam Smith,0
Brandi Carlile;Sam Smith,0
Brandi Carlile;Sam Smith,0
KT Tunstall,0
Brandi Carlile,0
Brandi Carlile,0
KT Tunstall,0
Eddie Vedder,0
Brandi Carlile,0
Brandi Carlile;Lucius,0
Brandi Carlile;Lucius,0
Brandi Carlile,0
Brandi Carlile;Lucius,0
Brandi Carlile;Lucius,0
Brandi Carlile;Lucius,0
Brandi Carlile;Lucius,0
Brandi Carlile;Lucius,0
Highland Peak,46
Motohiro Hata,61
Andrew Belle,60
Ron Pope,68
Adam Christopher,52
Andrew Belle,62
Aron Wright,51
Chord Overstreet,0
Sara Bareilles,67
Chord Overstreet,57
Zack Tabudlo,75
Andrew Belle,62
Kurt Cobain,66
Boyce Avenue;Bea Miller,64
Tim Halperin,62
Canyon City,58
Aaron Espe,65
Sara Bareilles,67
Andrew Belle,65
Tyler Ward,44
Ron Pope,55
Five For Fighting,70
Andrew Belle,57
Bailey Jehl,56
Ingrid Michaelson,56
Jason Mraz,67
A Great Big World,62
Eddie Vedder;Nusrat Fateh Ali Khan,45
Drew Holcomb & The Neighbors,64
Jason Mraz,65
Gabrielle Aplin,0
Gabrielle Aplin,0
Eddie Vedder,68
Gabrielle Aplin,0
Gabrielle Aplin,0
Eddie Vedder,61
Sara Bareilles,70
KT Tunstall,0
KT Tunstall,0
Five For Fighting,62
The Civil Wars,0
The Civil Wars,0
KT Tunstall,0
The Civil Wars,0
The Civil Wars,0
The Civil Wars,0
The Civil Wars,0
The Civil Wars,0
KT Tunstall,0
KT Tunstall,0
Motohiro Hata,58
Callum J Wright,50
Andrew Belle,59
Boyce Avenue;Fifth Harmony,57
Boyce Avenue,60
Gabrielle Aplin;JP Cooper,61
Mone Kamishiraishi,49
John Adams,55
Kitri,51
Tyler Ward,46
Boyce Avenue,57
Andrew Belle,58
Ben Woodward,51
Augustana,63
Matthew Perryman Jones,53
Boyce Avenue,60
Andrew Foy;Renee Foy,47
Kina Grannis,60
Jason Mraz,66
Ray LaMontagne;Sierra Ferrell,67
Meg Birch,43
Catherine Feeny,54
Joshua Hyslop,60
Ross Copperman,49
JJ Heller,57
Ben Woodward,42
Howie Day,67
Ben Rector,61
Matt Nathanson,71
Rachael Yamagata,49
Parachute,61
Parachute,61
Jason Mraz,20
Jason Mraz,22
Jason Mraz,35
Eddie Vedder,60
Gabrielle Aplin,59
KT Tunstall,73
Jason Mraz,22
Jason Mraz,19
Jason Mraz,24
JJ Heller,57
Jason Mraz,35
Jason Mraz,20
Jason Mraz,18
Jason Mraz,19
Jason Mraz,23
Jason Mraz,19
Jason Mraz,18
Eddie Vedder,65
Susie Suh;Robot Koch,55
Tyler Ward;Lindsey Stirling;Kina Grannis,47
Howie Day,56
Eden Elf;Ren Avel,53
Kitri,49
Boyce Avenue;Rachel Grae,51
Chord Overstreet,53
Five For Fighting,66
Andrew Belle,56
Rachael Yamagata,47
Cary Brothers,51
The Mayries,55
Jason Mraz,60
Joseph Sullinger,40
A Great Big World;Christina Aguilera,58
Parachute,55
Zack Tabudlo;Yonnyboii,50
Tobey Rosen,52
The Mayries,54
Sara Bareilles,73
Andrew Foy;Renee Foy,38
Aqualung,53
Tyler Ward;Karis;Ray Lorraine,55
Agustín Amigó;Nylonwings,41
Amy Stroup,46
Boyce Avenue;Connie Talbot,63
Brandi Carlile,66
JJ Heller,54
Kina Grannis,62
The Mayries,57
Caleb Santos;Viva Music Publishing Inc.,68
Boyce Avenue,62
Jason Mraz,53
Rachael Yamagata,44
Parachute,57
Priscilla Ahn,52
Chord Overstreet,53
JJ Heller,53
Jon Bryant,55
Donovan Woods,66
Ross Copperman,49
Joshua Hyslop,60
Angelina Cruz,38
Stephen Speaks,67
A Great Big World,57
Eddie Vedder,60
The Weepies;Deb Talan;Steve Tannen,64
Freddie King,0
Taj Mahal,0
Keb' Mo';Gerald Albright,0
Motohiro Hata,61
Thomas Daniel,50
Masayoshi Yamazaki,47
Kina Grannis,58
Todd Carey;Ariza;Chuck Leavell,30
YUZU,52
Canyon City,55
Zack Tabudlo,67
Aron Wright,45
Boyce Avenue,56
Jonah Baker,37
The Civil Wars,54
Howie Day,66
Ingrid Michaelson,63
Zack Tabudlo;Billkin,58
Landon Pigg,55
Anna Nalick,65
Zack Tabudlo,69
Jonah Baker,44
Ben Woodward,39
Andrew Belle,54
Jonah Baker,44
Zack Tabudlo,70
Us The Duo,64
Andrew Foy;Renee Foy,40
Tyler Ward;Karis;Ray Lorraine,47
A Great Big World,40
Zack Tabudlo,55
Donovan Woods;Tenille Townes,57
Ray LaMontagne,48
Megan Davies,54
Tim Halperin,53
Canyon City,60
JJ Heller,54
Ray LaMontagne,62
Us The Duo,51
Boyce Avenue;Megan Nicole,61
Joshua Hyslop,51
Drew Holcomb & The Neighbors,63
Ray LaMontagne,65
Amos Lee,64
Boyce Avenue,57
Jason Mraz;Meghan Trainor,54
Days N Daze,37
Sara Bareilles,63
Mindy Gledhill,53
Dave Barnes,0
Get Dead,36
Albert King,0
Albert King,0
John Adams,55
John Adams,57
Adam Christopher,54
Motohiro Hata,44
Aoi Teshima,51
Jonah Baker,42
YUZU,47
Boyce Avenue;Emma Heesters,54
Zack Tabudlo,73
Boyce Avenue,56
Thomas Daniel,56
Jason Mraz,59
Jae Hall,57
Aaron Espe,56
A Fine Frenzy,57
Roses & Frey,51
Parachute,48
Kina Grannis,52
The Mayries,54
Canyon City,55
Andrew Foy;Renee Foy,41
Boyce Avenue,49
Andrew Foy;Renee Foy,37
Kina Grannis,52
Roses & Frey,58
Aidan Hawken,48
Jon Bryant,56
The Rescues,46
Ivan & Alyosha,55
Kina Grannis,54
Austin Plaine,57
Chord Overstreet,49
Plamina,55
Kina Grannis;Imaginary Future,51
Andrew Foy;Renee Foy,39
Joshua Hyslop,60
Parachute,60
Phillip LaRue,53
krissy & ericka,64
Takehara Pistol,34
Allman Brown;Liz Lawrence,50
Ben Rector,65
The Weepies;Deb Talan;Steve Tannen,56
Ben Rector,57
Eddy Tyler,43
Ray LaMontagne,64
Eddie Vedder,58
Joy Williams,64
Days N Daze,35
Ray LaMontagne,36
Callum J Wright,54
Rachael Yamagata,43
John Adams,49
Lusaint,55
Boyce Avenue;Sarah Hyland,54
Mother's Daughter;Beck Pete,55
Aron Wright,39
The Perishers,51
Tyler Ward;Madysyn,52
Jonah Baker,56
