track_genre,popularity
acoustic,73
acoustic,55
acoustic,57
acoustic,71
acoustic,82
acoustic,58
acoustic,74
acoustic,80
acoustic,74
acoustic,56
acoustic,74
acoustic,69
acoustic,52
acoustic,62
acoustic,56
acoustic,58
acoustic,56
acoustic,54
acoustic,68
acoustic,67
acoustic,75
acoustic,63
acoustic,70
acoustic,0
acoustic,0
acoustic,1
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,46
acoustic,61
acoustic,60
acoustic,68
acoustic,52
acoustic,62
acoustic,51
acoustic,0
acoustic,67
acoustic,57
acoustic,75
acoustic,62
acoustic,66
acoustic,64
acoustic,62
acoustic,58
acoustic,65
acoustic,67
acoustic,65
acoustic,44
acoustic,55
acoustic,70
acoustic,57
acoustic,56
acoustic,56
acoustic,67
acoustic,62
acoustic,45
acoustic,64
acoustic,65
acoustic,0
acoustic,0
acoustic,68
acoustic,0
acoustic,0
acoustic,61
acoustic,70
acoustic,0
acoustic,0
acoustic,62
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,0
acoustic,58
acoustic,50
acoustic,59
acoustic,57
acoustic,60
acoustic,61
acoustic,49
acoustic,55
acoustic,51
acoustic,46
acoustic,57
acoustic,58
acoustic,51
acoustic,63
acoustic,53
acoustic,60
acoustic,47
acoustic,60
acoustic,66
acoustic,67
acoustic,43
acoustic,54
acoustic,60
acoustic,49
acoustic,57
acoustic,42
acoustic,67
acoustic,61
acoustic,71
acoustic,49
acoustic,61
acoustic,61
acoustic,20
acoustic,22
acoustic,35
acoustic,60
acoustic,59
acoustic,73
acoustic,22
acoustic,19
acoustic,24
acoustic,57
acoustic,35
acoustic,20
acoustic,18
acoustic,19
acoustic,23
acoustic,19
acoustic,18
acoustic,65
acoustic,55
acoustic,47
acoustic,56
acoustic,53
acoustic,49
acoustic,51
acoustic,53
acoustic,66
acoustic,56
acoustic,47
acoustic,51
acoustic,55
acoustic,60
acoustic,40
acoustic,58
acoustic,55
acoustic,50
acoustic,52
acoustic,54
acoustic,73
acoustic,38
acoustic,53
acoustic,55
acoustic,41
acoustic,46
acoustic,63
acoustic,66
acoustic,54
acoustic,62
acoustic,57
acoustic,68
acoustic,62
acoustic,53
acoustic,44
acoustic,57
acoustic,52
acoustic,53
acoustic,53
acoustic,55
acoustic,66
acoustic,49
acoustic,60
acoustic,38
acoustic,67
acoustic,57
acoustic,60
acoustic,64
acoustic,0
acoustic,0
acoustic,0
acoustic,61
acoustic,50
acoustic,47
acoustic,58
acoustic,30
acoustic,52
acoustic,55
acoustic,67
acoustic,45
acoustic,56
acoustic,37
acoustic,54
acoustic,66
acoustic,63
acoustic,58
acoustic,55
acoustic,65
acoustic,69
acoustic,44
acoustic,39
acoustic,54
acoustic,44
acoustic,70
acoustic,64
acoustic,40
acoustic,47
acoustic,40
acoustic,55
acoustic,57
acoustic,48
acoustic,54
acoustic,53
acoustic,60
acoustic,54
acoustic,62
acoustic,51
acoustic,61
acoustic,51
acoustic,63
acoustic,65
acoustic,64
acoustic,57
acoustic,54
acoustic,37
acoustic,63
acoustic,53
acoustic,0
acoustic,36
acoustic,0
acoustic,0
acoustic,55
acoustic,57
acoustic,54
acoustic,44
acoustic,51
acoustic,42
acoustic,47
acoustic,54
acoustic,73
acoustic,56
acoustic,56
acoustic,59
acoustic,57
acoustic,56
acoustic,57
acoustic,51
acoustic,48
acoustic,52
acoustic,54
acoustic,55
acoustic,41
acoustic,49
acoustic,37
acoustic,52
acoustic,58
acoustic,48
acoustic,56
acoustic,46
acoustic,55
acoustic,54
acoustic,57
acoustic,49
acoustic,55
acoustic,51
acoustic,39
acoustic,60
acoustic,60
acoustic,53
acoustic,64
acoustic,34
acoustic,50
acoustic,65
acoustic,56
acoustic,57
acoustic,43
acoustic,64
acoustic,58
acoustic,64
acoustic,35
acoustic,36
acoustic,54
acoustic,43
acoustic,49
acoustic,55
acoustic,54
acoustic,55
acoustic,39
acoustic,51
acoustic,52
acoustic,56
acoustic,48
acoustic,41
acoustic,40
acoustic,57
acoustic,53
acoustic,30
acoustic,49
acoustic,26
acoustic,53
acoustic,52
acoustic,51
acoustic,35
acoustic,54
acoustic,50
acoustic,53
acoustic,48
acoustic,49
acoustic,35
acoustic,60
acoustic,65
acoustic,52
acoustic,57
acoustic,59
acoustic,50
acoustic,49
acoustic,54
acoustic,52
acoustic,46
acoustic,62
acoustic,32
acoustic,33
acoustic,58
acoustic,57
acoustic,34
acoustic,55
acoustic,33
acoustic,33
acoustic,0
acoustic,0
acoustic,0
acoustic,52
acoustic,21
acoustic,50
acoustic,55
acoustic,46
acoustic,56
acoustic,40
acoustic,21
acoustic,55
acoustic,50
acoustic,41
acoustic,44
acoustic,57
acoustic,33
acoustic,56
acoustic,32
acoustic,35
acoustic,55
acoustic,33
acoustic,46
acoustic,38
acoustic,65
acoustic,60
acoustic,54
acoustic,37
acoustic,34
acoustic,55
acoustic,51
acoustic,48
acoustic,34
acoustic,51
acoustic,54
acoustic,32
acoustic,54
acoustic,61
acoustic,55
acoustic,55
acoustic,34
acoustic,33
acoustic,45
acoustic,33
acoustic,34
acoustic,34
acoustic,49
acoustic,33
acoustic,62
acoustic,33
acoustic,31
acoustic,32
acoustic,32
acoustic,54
acoustic,50
acoustic,58
acoustic,49
acoustic,52
acoustic,49
acoustic,53
acoustic,54
acoustic,50
acoustic,57
acoustic,53
acoustic,57
acoustic,49
acoustic,52
acoustic,51
acoustic,46
acoustic,41
acoustic,57
acoustic,50
acoustic,42
acoustic,47
acoustic,55
acoustic,56
acoustic,49
acoustic,50
acoustic,56
acoustic,52
acoustic,50
acoustic,53
acoustic,33
acoustic,54
acoustic,50
acoustic,54
acoustic,55
acoustic,32
acoustic,33
acoustic,50
acoustic,56
acoustic,63
acoustic,48
acoustic,54
acoustic,31
acoustic,31
acoustic,60
acoustic,67
acoustic,33
acoustic,32
acoustic,31
acoustic,0
acoustic,31
acoustic,45
acoustic,56
acoustic,45
acoustic,42
acoustic,46
acoustic,50
acoustic,45
acoustic,56
acoustic,43
acoustic,39
acoustic,53
acoustic,45
acoustic,32
acoustic,53
